artistID,name,song_title,genre,Stt
1,Lý Tuấn Hạnh,Hoa Say (475),Dance,ID_1
2,Lý Phương Cường,Đường Mơ (177),Indie,ID_2
3,Ngô Hữu Tâm,Lời Yêu Thương (200),R&B,ID_3
4,Ngô Phương Đông,Lời Yêu Lặng (820),Ballad,ID_4
5,Dương Minh Mai,Hoa Đau (131),Jazz,ID_5
6,Trương Ngọc Trang,Lời Yêu Thương (186),Rock,ID_6
7,Lý Anh Hương,Tình Sầu (162),Ballad,ID_7
8,Hoàng Khánh Hà,Mưa Đau (232),Rock,ID_8
9,Phạm Anh Phúc,Gió Đau (622),Jazz,ID_9
10,Lý Anh Nam,Trăng Vui (905),Lo-fi,ID_10
11,Phan Văn Linh,Mây Đau (675),Lo-fi,ID_11
12,Lê Ngọc Dũng,Gió Xa (928),Rap,ID_12
13,Lê Quang Tâm,Phố Đau (963),R&B,ID_13
14,Lê Quang Sơn,Mưa Nhớ (338),Ballad,ID_14
15,Đặng Quang Hương,Hoa Lạ (615),Ballad,ID_15
16,Nguyễn Phương Mai,Tình Mơ (740),Jazz,ID_16
17,Phạm Hữu Cường,Kỷ Niệm Lạ (819),Ballad,ID_17
18,Trần Bảo Hà,Gió Đau (809),Ballad,ID_18
19,Phạm Xuân Sơn,Biển Say (651),Pop,ID_19
20,Hoàng Bảo Hà,Hoa Sầu (623),Dance,ID_20
21,Đỗ Tuấn Cường,Mây Xa (726),Bolero,ID_21
22,Đỗ Văn Mai,Mây Sầu (330),Indie,ID_22
23,Ngô Thị Tuấn,Kỷ Niệm Lạ (861),Rap,ID_23
24,Nguyễn Minh Hạnh,Mây Buồn (497),Indie,ID_24
25,Trần Thị Phúc,Hoa Thương (199),Lo-fi,ID_25
26,Phạm Ngọc Tâm,Nắng Sầu (991),Rock,ID_26
27,Bùi Hữu Dũng,Kỷ Niệm Mơ (439),Pop,ID_27
28,Hồ Ngọc Phúc,Phố Quên (884),Rap,ID_28
29,Nguyễn Xuân Sơn,Gió Quên (125),Bolero,ID_29
30,Hồ Phương Đông,Mưa Lạ (530),Indie,ID_30
31,Đặng Văn Lan,Đường Quên (892),Indie,ID_31
32,Phan Văn Trang,Tình Lặng (379),R&B,ID_32
33,Phạm Minh Quân,Phố Lặng (864),Bolero,ID_33
34,Phạm Bảo Hương,Kỷ Niệm Sầu (925),Indie,ID_34
35,Trần Văn Huy,Lời Yêu Quên (202),Dance,ID_35
36,Lê Đức Huy,Phố Buồn (652),Dance,ID_36
37,Lê Phương Quân,Mưa Lạ (181),Dance,ID_37
38,Trương Anh Tâm,Biển Buồn (336),R&B,ID_38
39,Trần Đức Mai,Mưa Say (265),Bolero,ID_39
40,Lý Minh Lan,Mây Đau (524),Pop,ID_40
41,Phan Quang Cường,Phố Sầu (404),Pop,ID_41
42,Hoàng Tuấn Sơn,Mưa Buồn (909),Dance,ID_42
